,Summoner ID
141,9kGqN7BHVB_5MKwMHQ5o9X_egaLzgmNKm8mHf-x-K-ZL3pB0
142,HbfixC3LMmZiuKRwTeA0oNvLRVf26X-jlVl-WKV47pO9XbAP
143,EH36lHHQq-nAqlSQKkeCNdm20TQv_a1Aro9gTgJfbrgf0Tix
144,gYpoxvIJQ-t-o8gAJunG221Aco5pjlINOpBHvcEnioxW0NR5
145,S5hQEIB8Y4xJkx440GiedX_D8HHYibN44bhbYksvWS_9Z7ke
146,X0OTAO28T5_FjDJwa97eeGZrQfFYQ0lEaQy4Z4tTQ9zP4Kbp
147,84W-NgXnEHjso_rqvYovu8x2ZWgmXbm5Fz0HDOljDtP2EVjI
148,fpU9upttjXBlNsAGKthJyMJOa8eAtw6XibQ1ZohxDzbQstK1
149,8FIwtWOi5O6YHLX04XAaxeYrP4_1hg0NHKqq-Bz0SUfPAqnC
150,kSahYkuW7ZBVHAyaXdRFOMHcIf2HDmMhvpGZYiu7OLKeRrV3
151,IrtH6r8mpl92rmuGqgRKkZk-9nmdBVvB8K-4iuhcN_6Wfott
152,pt31UehwkQwq5FkEo0HO3umwJkRtsTFj6-oZjfhhnrzwiLBb
153,0O6uLn2z74DptmoYFD_KTi8EMabCE9lRZC7vxqwucE4C-cow
154,aO55Dup_os1VQeL_oEYiiyhTTHqjoyhhZx1wALIJirM85LpV
155,vcO1jSd35Y9T9utEtUE4MpD90Obezn_PPVfXbNaA5IHqI-Co
156,PK7w3V7B4O9Iv0NgMlDjf74stK8fIvWptTmg3NbeYWgtLBIG
157,LTAW2ntRX_JmdIElJgtp5Cs_hBBJ_7VxxHQcm0XtcJZXVvJz
158,J7E01EXPjLzOKSF6NY2EhG1bdfcbyH48Yo7EPrwGPcw3kXFU
159,OeJuO_reSvseGl2p8c-POStmmf6cX549L_a9DSDi_TWtmObD
160,TLywOaoFLUTiG8_a1taNWVXbNZ_yPUD-XBMGuvakptcXOYH9
161,cPZskOA-eEBzzcVVaVG8OZlIuPrBNiUfl6l61SiroFWr4RWf
162,_v5ZZY3d95Ji-fN6eDLXQsx-f-6qH3OlHfMdX0LKCIeXPhXo
163,846B8-KHgzv40nlsCA3ro9gkPC-ldkfOD52BYor8mhZ9DDAU
164,Hy9fUcHNNwQbi8d87K-RgRekcJh8gZLvByYr2ik6hPbULwaR
165,izlmdMcjSEKikTLADYw9KkVP_SvunHkJ6W79LDs89A9uWr0O
166,h46ravYAf4Wqka7U-AmUObLSZWToJ1p13uL9lwr0E7hTLw4G
167,x-9RRkwoWaNLzKdtsfjnxkr-oxYuiPuaMN3luRQJ7mw7XSaX
168,QoM5_Wer4b_MUiinP3bqnJVhILNFBUxynvtJFw9oF2CTXMg1
169,VvsBokoCZd1V5L9xzpYS6I8XbiwRmb081pu0BQ7mks8AFJ7F
170,oOANbE7Kew05YbN1AkVWbYSufKYdwExZxvLJRh0VUP5gNwE7
171,ZQ5ENM4kvqjjmnQ5hExhqT9GCkk-1GMpguQR9V7JHc5Xj8Eb
172,rr5ZqEazX4mWu2JxjN4LXBp7fj11woIaS3MjHTNvppg38nAw
173,QaFSrlO9cYrVyXRsjjE33qdmTJl_IWdDAV260cDkgaQtDDa3
174,yY8uoY7Rv7cqOEqFLrLAmaQHiJnf_QmlG_Xqbbf83ywHvHSz
175,WJGsetRuLetWVQLWGZZgxZdrBB4tAHksz6bGWlR0y2gc-RKv
176,eHFm73n458wS2AZY4PfK_bpk4TtlXHB6bFI35OA0rLUQcv4-
177,C0hcPwsv46HncnM8G8ivExQbK_FtJyBh6hWveFYKjFcbduoV
178,Vjy1EnI_VKSH6nEa84nQyYjkQv8BOvyXK3olLUzNMTx3tx8B
179,iUzbsinDq4PsHVpLxzf4uSoXV7IdpX5rNNCraRKfq0SKTABx
180,QmFcV6tD9fSUlWUqSscL4toy6UBJayZfKJYR0gRdJPfzIUJl
181,dipDA09EaUxzKJuUdKs0ju2cQZSAVqkuHFUjOuDLn-xcibbM
182,3Lh-pi29TLmNDBLLV7-YEI7nAfVN_wDta8kUtpRa3uoVghQr
183,CmnfDoNqmVq5m1TQRHzBEQp_egrSrff6-yq-GVXEowrNtytd
184,BO_U2Y47YihSwrC8lF2q7ESwdnObg5drcRtqUdnt0-aMswB3
185,zzxLYgPUY4LXKn3KxsRaeucLGTMb-9YMY2DG1O3wQklMXSHS
186,1ErpbyJjVJYKcBOK4OcxOVyjH5A6-tLF70qIzbbOSPnN8JGO
187,89F1x4lxcjnOm5cnPW3Qd_5XZ1lDa14Khv6e2BcURCncwneW
188,WLFdmr8VeOblpAsaHm14_W_DfyTazt0EkQ3zAyEWpTcmGuD9
189,ThsEwquaFRDtLnWV73-hoR_gthHJPaZKMyPo5qdS1R3Zpzp6
190,X3sA6D5eGOZ_RsUDSf8OFIjfYuhYfhIIl9e_q3WyufJRGdkj
191,lrKd-OviDtIXJESETXd0ht6T5o0Bs62vMoLIoz5i7uXF7s9m
192,jL0jyXuvkEhljlkGCeFH01Q0ky6mCM1BV4ckuWYcHfrEaZIj
193,0SRVrMJoJuHKD5xPfyLsrPvwSYzYrxLjVx-QpIOuUbg_MpQt
194,3WnE3qajhImDqxyDXzL1SFNyh4_ZhABJw9eWfbrJpkfuiasO
195,qtlqfOUx5o9YG5NGKbZjda_T5Ac6J_yVbxDMLD2-Yv31-HjJ
196,yM-EcrHBML3FqkLr5MxGUIm_5AudErt352XDuh0NVa_m61Wq
197,G53xUWsXtp8Rn8KhGaoSwcOdGb7yvSJBJ8DUDEZ3oJG9B21r
198,hBMZU5X7Swp0-OZemKLuoVFPMcR2bCbHZQLXJbU4lkWyNxOS
199,s6_CPw3nh73SKWVsLxo9ddsQrKRp9UnF4xSHzh9b-otfNYiY
200,pBeLOMdmzrdCjgJUkOAzUqOxfSjBg_zrBvvbg2OaAN_-TeBz
201,Kes0owNM_7pB2Q9cMKeDDCPkRxfsgAcSVq8wR35m8M4i94zp
202,MoHbEzG8b1F0r0w99jqVNHbftgbBIof6verxrlfyWItdm7i5
203,culeBRm_ryZjxC7B3mlDTbdN31yXPdXbyz3gX6BdSgYt4Nzr
204,df3xgx8CRC6BceJ3DnE_XXHby8yE7eyWs9ZleJpNCNbpJv3n
